DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2
S01008174,-0.41673122316147854,-0.021145606099579675,-0.23937176186345563,-0.3397439115980664,-0.327353429835175,-0.656022226532589,-1.391436043471747,-0.2346094594234009,-0.10754683101943971,0.23793166270752764,-2.171362545385865,0.9145243861485757
S01008175,0.6693183134589935,0.6273196476208652,-0.1955547886368512,0.30808991904491045,1.031772988019176,-1.305675167936485,-0.47334481579085447,-1.8354315650166895,-0.9956040881572414,-0.18280679624788257,-2.073806231938119,0.9225141818461278
S01008176,-0.5374033938970866,-0.1832619195296909,0.9254294430771122,-0.3397439115980664,-0.327353429835175,0.6893520069149524,-0.821584149284345,0.4748128139759561,-0.7128745412063408,0.04597171114118057,-0.05746194816269113,-0.14450319816565016
S01008177,0.4279739719877775,0.465203334190754,-0.1699948875879986,0.5672234513021012,0.1256887094496087,-0.07596070821624008,-0.03783277974100972,-0.2697053278799229,0.18462324502340738,0.2970957264990401,-0.7319185226424407,0.5072018787749282
S01008179,-1.1407642475751265,-0.993843486680247,-0.8966263602625221,-0.8580109761124478,-0.7803955691199587,1.890300066711355,0.7998733410113079,1.7659260133111931,0.36222389524829496,-0.36626574482974816,-2.243808592543682,1.2528052678491828
S01008180,-1.1407642475751265,-0.993843486680247,-0.717707052920554,-1.246711274498234,-0.7803955691199587,1.740492169219882,0.787074556804106,1.7845513663622534,0.4152426821989218,-0.5218501476026002,-1.5103203067414455,1.1158975253409498
S01008181,-1.0200920768395185,-0.8317271732501358,-0.4767137001742296,-0.9875777422410432,-0.327353429835175,2.263022800853046,-0.9062134533342404,1.6741217506851302,-0.351655435302527,-0.10823293459465161,-0.6788041744237524,0.2896304007023884
S01008182,0.3073018012521695,0.465203334190754,0.15863241161153463,1.4741908142022688,2.390899405873527,-0.29854235661930056,1.229782236011707,0.47569716251971406,1.2850605568958706,-1.0137317897733369,0.3801569102831107,-0.5381097039231362
S01008183,0.18662963051656148,0.14097070733053155,-0.35256560936551706,-0.46931067772666174,1.031772988019176,0.6296654314849462,0.06987786496544493,0.846935787956489,0.14420293638453077,-0.21478887067700797,0.18585913820187983,-0.42216375414260116
S01008184,0.5486461427233855,0.14097070733053155,1.3928104908275594,0.5672234513021012,0.5787308487343924,-0.8301817560056581,-1.076547577182685,-0.5700023731580944,0.09484722244022434,-0.6134844909086359,1.4115061977940666,-0.9459515483152706
